GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,Home_Team_Name,Visitor_Team_Name,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,Winner,
2022-12-22,22200477,Final,Pelicans,Spurs,2022,126,0.484,0.926,0.382,25,46,117,0.478,0.815,0.321,23,44,Pelicans,22200477
2022-12-22,22200478,Final,Jazz,Wizards,2022,120,0.488,0.952,0.457,16,40,112,0.561,0.765,0.333,20,37,Jazz,22200478
2022-12-21,22200466,Final,Cavaliers,Bucks,2022,114,0.482,0.786,0.313,22,37,106,0.47,0.682,0.433,20,46,Cavaliers,22200466
2022-12-21,22200467,Final,76ers,Pistons,2022,113,0.441,0.909,0.297,27,49,93,0.392,0.735,0.261,15,46,76ers,22200467
2022-12-21,22200468,Final,Hawks,Bulls,2022,108,0.429,1,0.378,22,47,110,0.5,0.773,0.292,20,47,Bulls,22200468
2022-12-21,22200469,Final,Celtics,Pacers,2022,112,0.386,0.84,0.317,26,62,117,0.469,0.778,0.462,27,47,Pacers,22200469
2022-12-21,22200470,Final,Nets,Warriors,2022,143,0.643,0.875,0.636,42,32,113,0.494,0.76,0.364,32,36,Nets,22200470
2022-12-21,22200471,Final,Knicks,Raptors,2022,106,0.553,0.611,0.423,25,38,113,0.447,0.909,0.265,17,38,Raptors,22200471
2022-12-21,22200472,Final,Rockets,Magic,2022,110,0.466,0.647,0.395,22,49,116,0.451,0.697,0.297,19,45,Magic,22200472
2022-12-21,22200473,Final,Timberwolves,Mavericks,2022,99,0.494,0.7,0.267,23,39,104,0.453,0.852,0.333,17,39,Mavericks,22200473
2022-12-21,22200474,Final,Thunder,Trail Blazers,2022,101,0.468,0.84,0.333,19,37,98,0.494,0.667,0.389,29,36,Thunder,22200474
2022-12-21,22200475,Final,Kings,Lakers,2022,134,0.505,0.75,0.362,29,46,120,0.5,0.833,0.458,25,39,Kings,22200475
2022-12-21,22200476,Final,Clippers,Hornets,2022,126,0.506,0.913,0.469,29,48,105,0.402,0.759,0.29,25,40,Clippers,22200476
2022-12-20,22200461,Final,Pistons,Jazz,2022,111,0.506,0.741,0.36,22,43,126,0.505,0.632,0.435,27,43,Jazz,22200461
2022-12-20,22200462,Final,Heat,Bulls,2022,103,0.469,0.706,0.341,26,35,113,0.548,0.833,0.419,24,39,Bulls,22200462
