teamId,teamName,totalMatches,totalWins
1,Pelicans,1728,797
2,Jazz,1776,955
3,Cavaliers,1816,928
4,76ers,1753,801
5,Hawks,1789,839
6,Celtics,1888,1059
7,Nets,1758,785
8,Knicks,1688,688
9,Rockets,1796,998
10,Timberwolves,1695,686
11,Thunder,1789,933
12,Kings,1698,703
13,Clippers,1781,919
14,Pistons,1788,849
15,Heat,1898,1076
16,Suns,1774,921
17,Nuggets,1793,1000
18,Pacers,1792,926
19,Raptors,1774,914
20,Lakers,1838,947
21,Spurs,1873,1186
22,Bucks,1777,856
23,Hornets,1603,640
24,Bulls,1770,888
25,Mavericks,1822,1040
26,Grizzlies,1768,889
27,Magic,1750,781
28,Wizards,1747,755
29,Trail Blazers,1757,868
30,Warriors,1823,1024
